best_params,best_auc,best_acc,Model,run
{'max_depth': 8},0.9915545400019841,0.9323042998897464,Decision Tree,0
"{'n_estimators': 72, 'max_depth': 7}",0.9876983596546649,0.903638368246968,Random Forest,0
{'C': 0.01},0.9065066447647396,0.7644983461962515,Logistic Regression,0
{'max_depth': 20},0.9904198532467994,0.9904079382579933,Decision Tree,1
"{'n_estimators': 376, 'max_depth': 17}",0.9992497191087433,0.9814773980154354,Random Forest,1
{'C': 0.1},0.9186604026371958,0.7657111356119073,Logistic Regression,1
